"http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&bulkSetSize=2000&matchBoolean%3Dtrue%26searchField%3DSearch_All%26queryText%3D%28%28p_Abstract%3A.QT.business+process.QT.+OR+p_Abstract%3A.QT.process-oriented.QT.+OR+.QT.process+oriented.QT.+OR+p_Abstract%3A.QT.process-integrated.QT.+%29+AND+%28p_Abstract%3A.QT.elearning+OR+p_Abstract%3Alearning+OR+p_Abstract%3Ateaching+OR+p_Abstract%3A.QT.e-learning.QT.%29%29",2016/09/22 09:09:49
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Design and application of practical teaching framework of ERP course","Qingshan Deng; Aihua Yin; Baodong Tu","School of Software, Jiangxi University of Finance and Economics, Nanchang, China","Computer Science & Education, 2009. ICCSE '09. 4th International Conference on","","2009","","","1346","1348","To make students have a deep understanding on ERP and to improve the students' practical ability, this paper designs a practical teaching framework of ERP course. The framework consists of three parts: experiments in the lab, extracurricular activities and internship in a certain software company. Furthermore, there are three levels of experiments in the lab: business scenario simulation, business process and roles collaboration designed according to Zachman's enterprise architecture framework. Extracurricular activities include the research of ERP business game, the simulation of development and testing of some ERP modules, the implementation solution design of ERP. Students' jobs in internship may be system development, system testing, system implementation and customer service. The framework has been applied in real teaching environment and has gotten good results.","","","10.1109/ICCSE.2009.5228175","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5228175","Business process;ERP implementation;Practical teaching framework;Software development and testing","Collaboration;Collaborative work;Companies;Education;Enterprise resource planning;Environmental economics;Finance;Marketing and sales;Production;System testing","computer aided instruction;enterprise resource planning;management education;software development management;teaching","ERP business game research;ERP course;enterprise resource planning;experiments in the lab;extracurricular activities;internship;practical teaching framework","","2","","2","","","25-28 July 2009","","IEEE","IEEE Conference Publications"
"Negotiation modeling and e-shopping agents","R. Huang","Fac. of Comput. & Inf. Sci., Hosei Univ., Tokyo, Japan","Computational Intelligence and Multimedia Applications, 2003. ICCIMA 2003. Proceedings. Fifth International Conference on","","2003","","","3","10","Negotiation is a key component of e-business. Like business in the real world, negotiation often occurs between two parties or among parties. Considering how to settle on the terms of a transaction, negotiation varies in duration and complexity depending on the market. In general, people are directly engaged in a negotiation process with common knowledge, their experience, and certain learning or reasoning strategies. The human involved negotiations accrue transaction costs that may be too high for either consumers or merchants. Software agent technologies can be used to automate several of the most time-consuming stages and help human combat information overload and expedite specific stages of the business process. The agent-mediated e-business systems are creating new markets (low-cost consumer-to-consumer goods) and beginning to reduce transaction cost in variety of business processes. With a rational negotiation model, software agents should be able to negotiate in an intelligent way on behalf of the real-world parties they represent. However, one of the challenging problems here is negotiation modeling. How to precisely reflect human's negotiation process on different levels is a crucial point. This paper presents our studies on negotiation modeling and demonstrates the negotiation model based e-shopping agents.","","","10.1109/ICCIMA.2003.1238085","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1238085","","Competitive intelligence;Computational intelligence;Costs;Counting circuits;Decision making;History;Humans;Intelligent agent;Software agents","electronic commerce;inference mechanisms;learning (artificial intelligence);negotiation support systems;software agents","business processes;consumer-to-consumer goods;e-business;e-shopping agents;information overload;learning strategy;negotiation modeling;reasoning strategies;software agent;transaction costs;transaction process","","4","1","17","","","27-30 Sept. 2003","","IEEE","IEEE Conference Publications"
"Research on the integrated teaching methods apply to college basketball teaching","B. Haijun","Heilongjiang Bayi Agricultural University, China, Physical and Military Department","Communication Software and Networks (ICCSN), 2011 IEEE 3rd International Conference on","","2011","","","496","500","At present, the university reform urgently needs to achieve educational innovation. The key of innovation is to implement comprehensive qualified education. This requires the teaching methods and means changing from simply impart knowledge to focus on training skills and developing abilities when impart knowledge. Traditional teaching thought and methods can not solve this problem. For this contradiction, we have carried out research on the integrated teaching methods using in the basketball special elective, looking forward to overcome and find solutions for the problems existed in present basketball teaching, updating the basketball teaching philosophy, and further improving the whole process of basketball teaching. In the reform of the unit teaching process, integrated teaching methods make the past teaching "" from part to decompose the teaching"" to ""from whole teaching to part teaching and then back to whole teaching"", make students "" understand "" the overview and basic profiles of project (especially the collective ball games) from the start, master the tactical concepts early, form the awareness of basketball, practice in teaching and racing, enable students to improve technical and tactical level in basketball special elective, have a certain basketball tactical sense, and grasp the characteristics and rules of basketball.","","","10.1109/ICCSN.2011.6013880","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6013880","Basketball;College;Integrated;Teaching methods","Educational institutions;Emotion recognition;Process control;Psychology","education;sport;teaching","basketball special elective;basketball tactical sense;college basketball teaching;educational innovation;integrated teaching method;university reform","","0","","6","","","27-29 May 2011","","IEEE","IEEE Conference Publications"
"Multimodal aspects of communication and data storage and managing systems","J. Sebesty&#x00E9;nov&#x00E1;; P. Kurdel","Institute of Informatics Slovak Academy of Sciences, Bratislava, Slovakia","IEEE 18th International Conference on Intelligent Engineering Systems INES 2014","","2014","","","209","214","Sensors of different principles (modalities) generate multimodal signals. Human-to-human communication relies on several communication modalities such as speech, body gesture, etc. The role of data descriptions, i.e. metadata, is important in the discovery, analysis, management, and sharing of scientific data. Computer understandable information is one that is annotated with semantics, which describes the meaning of the information. Paper presents methods for multimodal communication and data storage and managing systems in different usage scenarios - eLearning, digital gesture database, logistics, business process, and rescue robots communication.","1543-9259;15439259","","10.1109/INES.2014.6909370","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6909370","","Data integration;Distributed databases;Ontologies;Robot sensing systems;Speech","data handling;signal processing;storage management","business process;computer understandable information;data descriptions;data managing systems;data storage;digital gesture database;e-learning;human-to-human communication;logistics;metadata;multimodal signal processing;rescue robots communication;scientific data analysis;scientific data discovery;scientific data sharing;sensors","","2","","28","","","3-5 July 2014","","IEEE","IEEE Conference Publications"
"Personal Learning Assistant Agents in the Business Process Domain","M. B. Blake","Georgetown University, USA","Sixth IEEE International Conference on Advanced Learning Technologies (ICALT'06)","","2006","","","1117","1118","Each time an employee enters a new business endeavor, he/she is required to learn new tasks and processes. Learning in the workplace can be as simple as learning the task of logging onto your computer and as complex as learning a multi-week business process. Across an enterprise organization, many individuals will be required to learn the same or similar operational processes. Since human beings are unique in there learning styles, it is essential that training techniques be customized to enhance human learning performance across a diverse workforce. Intelligent agents represent an emerging paradigm where adaptive task selection is coupled with autonomous control. Agents represent a promising technology for delivering specialized training to their human counterparts by customizing instructions in multiple modalities. Insight into how an individual learns a specific business process can be used to enhance that business process for the best performance. This paper discusses the rationale for a personal learning assistant agent customized for business processes","2161-3761;21613761","","10.1109/ICALT.2006.1652651","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1652651","","Adaptive control;Business communication;Business process re-engineering;Databases;Employment;Humans;Industrial training;Intelligent agent;Management training;Programmable control","intelligent tutoring systems;management education;management training;software agents","adaptive task selection;autonomous control;business process learning;enterprise organization;human learning;intelligent agents;personal learning assistant agents;specialized training","","0","","4","","","5-7 July 2006","","IEEE","IEEE Conference Publications"
"Organizational Learning and Organizational Capabilities of Firms that Engage in Onshore and Offshore Business Process Outsourcing","J. Whitaker; S. Mithas; M. S. Krishnan","Univ. of Richmond, Richmond, VA, USA","System Sciences (HICSS), 2010 43rd Hawaii International Conference on","","2010","","","1","10","Firms are increasingly using onshore and offshore business process outsourcing (BPO) to manage their front and back office functions. While most IS research uses transaction cost economics (TCE) to study the transaction-level characteristics that facilitate outsourcing, to advance theory there is a need to focus on the firm-level characteristics that facilitate onshore and offshore BPO. This paper builds on prior research in organizational learning and organizational capabilities to propose a theoretical framework for adoption of onshore and offshore BPO, and tests the framework using archival data.","1530-1605;15301605","","10.1109/HICSS.2010.298","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5428567","","Best practices;Collaboration;Contracts;Cost function;Knowledge management;Outsourcing;Quality management;Testing","business data processing;organisational aspects;outsourcing","offshore business process outsourcing;onshore business process outsourcing;organizational capabilities;organizational learning","","0","","99","","","5-8 Jan. 2010","","IEEE","IEEE Conference Publications"
"Performance indication system supporting transition of networked industrial service business","V. Salminen; J. Tammela","Lappeenranta University of Technology, Myyrm&#x00E4;entie 2B, 01600 Vantaa, Finland","2008 IEEE International Technology Management Conference (ICE)","","2008","","","1","14","Manufacturing companies that are expanding their product offering to cover also lifecycle services in the customers' facilities are facing the increasing complexity and risk to execute continuous business transition. Continuous relationship with customer and customer process supports life cycle learning and knowledge catching. Whole the value network around the customer process is continuously searching balance between effectiveness and profitability over the life cycle. Business transition is difficult to execute if the networked business is not understood from system point of view through ""big picture"" of the business and if suitable collaborative performance metrics is not used. There have been many attempts to describe industrial service in the form of ""big picture"". Some of them have been too complicated, some too simple, some are biased serving only single point of view. Service excellence means understanding of the whole business picture. That system model leads us to the roots of service excellence. Service excellence can be continuously measured and followed by indicators looking from various viewpoints. Some of the indicators are based on balance scorecard key performance indicators. Some of the viewpoints are such that there have not been used any indicators. Emotional aspects or future service opportunities are not yet addressed by any indicators. Emotional factors become more and more important on service implementation. Enterprise brand image is also important in successful service marketing. By mastering innovation in open environment over customer process life cycle it is possible to achieve leadership in life cycle business transition. Innovation is taking place in three dimensions, business, customer and life cycle innovation. Spiral innovation process over the three dimensions of this hybrid innovation enables new type of business transition with lower risk level. Business co evolution is taking place on boundaries of business models, networks a- d deliverables. Performance metrics should align to translate vision to action and establish the criteria for business process optimization. This article introduces new concept on management of business transition by system model of the networked business and new type of performance indication system. The concept has been developed and validated according grounded theory in the deep collaboration with ten enterprises.","","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7461996","Business transition;Emotional factors;Industrial service;Service indicators;Spiral innovation","Adaptation models;Collaboration;Companies;Maintenance engineering;Measurement;Technological innovation","customer relationship management;innovation management;manufacturing industries;organisational aspects;product life cycle management;risk management;service industries","balance scorecard key performance indicators;business coevolution;business models;business picture;business transition management;collaborative performance metrics;customer process life cycle;customer relationship;customers facilities;enterprise brand image;grounded theory;hybrid innovation;knowledge catching;life cycle business transition;life cycle learning;lifecycle services;manufacturing companies;networked industrial service business transition;performance indication system;profitability;risk level;service excellence;service marketing;spiral innovation process;system model;value network","","","","20","","","23-28 June 2008","","IEEE","IEEE Conference Publications"
"An Automatic Configuration Method for Teaching Management Process","H. Li; H. Wang","Sch. of Comput. Sci. & Technol., Shandong Univ., Jinan, China","2009 WRI Global Congress on Intelligent Systems","","2009","4","","183","187","In order to solve the unsteadiness of business process caused by the constantly changing requirements in the Web circumstances, we propose in this paper an automatic configuration method for business process based on rules, with teaching management in colleges as research background. We first define the basic activities of each process and their mutual relations. When it is run-time, business process that satisfies current requirement will be automatically configured according to context and business rules. Any changes of requirement can be reflected in the business rules, so that business process is capable of changing along with requirement without having to alter its applied logic.","2155-6083;21556083","","10.1109/GCIS.2009.423","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5209301","","Computer science;Continuing education;Costs;Educational institutions;Globalization;Intelligent systems;Logic;Runtime;Technological innovation;Technology management","Internet;business process re-engineering","Web circumstance requirement;automatic configuration method;business process unsteadiness;teaching management process","","0","","13","","","19-21 May 2009","","IEEE","IEEE Conference Publications"
"Open Learning Platform Based on Personal and Social Analytics for Individualized Learning Support","X. Zhou; B. Wu; Q. Jin","Adv. Res. Center for Human Sci., Waseda Univ., Tokorozawa, Japan","2015 IEEE 12th Intl Conf on Ubiquitous Intelligence and Computing and 2015 IEEE 12th Intl Conf on Autonomic and Trusted Computing and 2015 IEEE 15th Intl Conf on Scalable Computing and Communications and Its Associated Workshops (UIC-ATC-ScalCom)","","2015","","","1741","1745","With the help of several emerging computing paradigms, such as Ubiquitous Computing, Social Computing, and Mobile Computing, OLP (Open Learning Process) has become an important research issue in the online learning environment. It becomes possible to share the learning process related information in and cross systems to meet the needs of all stakeholders, such as teachers, learners and managers. In this study, we focus on the OLP in the social learning environment based on the personal and social analytics, which can provide users with the process-oriented learning support. We present a data processing framework to collect, analyze, and organize the learning-related data in a user-centric way. Three important issues regarding to the unified data management, socialized learning analytics, and sharable open learning process are discussed towards the process-oriented learning innovation. Based on these, an open learning platform is proposed and designed to provide users with the individualized support in the collaborative learning process.","","","10.1109/UIC-ATC-ScalCom-CBDCom-IoP.2015.316","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7518497","individualized learning support;open learning process;personal analysis;social analysis;social learning","Analytical models;Collaborative work;Context;Data models;Data processing;Electronic learning;Learning systems","computer aided instruction;data analysis;social sciences computing","OLP;collaborative learning process;data processing framework;individualized learning support;learning-related data analysis;learning-related data collection;learning-related data organization;mobile computing;online learning environment;personal analytics;process-oriented learning support;sharable open learning process;social analytics;social computing;socialized learning analytics;ubiquitous computing;unified data management","","","","","","","10-14 Aug. 2015","","IEEE","IEEE Conference Publications"
"Evaluation Indicator System of Regional Vehicle Marketing Team Performance with Delphi","L. Cui; J. Zhang","Sch. of Manage., Huazhong Univ. of Sci. & Technolodgy, Wuhan, China","2009 International Conference on Information Management, Innovation Management and Industrial Engineering","","2009","1","","319","323","Evaluation of regional vehicle marketing performance is becoming the focus of management of every regional vehicle marketing team, acting as a tool that feeds back information and optimizes collocation. The system comprises four 1-degree guidelines, including financial, customers, internal business processes, learning and growth, and thirty second-degree guidelines. Besides, arrayed by the importance in the management view, thirteen guidelines reflect the evaluation indicators of regional vehicle marketing team performance. The results indicate that financial, customers, learning and growth guidelines can reflect the regional vehicle marketing performance very well. Relatively, internal business process guideline reflects the performance very well. Furthermore, we recognized three guidelines of the most importance and best reflect the regional vehicle marketing team performance with the help of regional marketing manager.","2155-1456;21551456","","10.1109/ICIII.2009.84","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5368593","Balanced Scorecard;Delphi;Marketing performance Evaluation;Regional vehicle marketing","Conference management;Engineering management;Focusing;Guidelines;Information management;Innovation management;Marketing and sales;Marketing management;Statistics;Vehicles","sales management;vehicles","Delphi;customer guideline;evaluation indicator system;financial guideline;four 1-degree guidelines;internal business process guideline;internal business processes;regional vehicle marketing team performance;second-degree guidelines","","0","","9","","","26-27 Dec. 2009","","IEEE","IEEE Conference Publications"
