1,[Back cover],iee abstract
2,[Copyright notice - Volume 1],iee abstract
3,[Copyright notice],iee abstract
4,[Copyright notice],iee abstract
5,[Front cover],iee abstract
6,[Title page i],iee abstract
7,[Title page i],iee abstract
8,A Balanced Performance Measurement Scorecard Approach for Product Service Systems,iee abstract
9,A Balanced Scorecard Approach to Perioperative Process Management: A Case Study Perspective,iee abstract
10,A best practice based approach to CASE-tool selection,iee abstract
11,A Business Process Management Approach to Perioperative Supplies/Instrument Inventory and Workflow,iee abstract
12,A Business Process Management Approach to Surgical Instrument/Device Reprocessing and Tracking,iee abstract
13,A Co-training Strategy for Multiple View Clustering in Process Mining,iee abstract
14,A conceptual framework of serious games for higher education: Conceptual framework of the game INNOV8 to train students in business process modelling,iee abstract
15,A contemporary science and engineering education program for 8th and 9th grade students,iee abstract
16,A framework for Knowledge Management System in higher learning institution: A case study of National University of Malaysia,iee abstract
17,A Framework for Reflective Business Process Management,iee abstract
18,A full lifecycle oriented examination transaction management system,iee abstract
19,A Fuzzy AHP and BSC Approach for Evaluating Performance of a Software Company Based on Knowledge Management,iee abstract
20,A Fuzzy Paradigm Approach for Business Process Intelligence,iee abstract
21,A Generic Platform to Automate Legal Knowledge Work Process Using Machine Learning,iee abstract
22,A Moodle-based e-learning framework to conduct the manipulation skill training for an enterprise resource planning system,iee abstract
23,A practical model for technology and innovation management,iee abstract
24,A Prediction Framework for Proactively Monitoring Aggregate Process-Performance Indicators,iee abstract
25,A process component model for enterprise business knowledge reuse,iee abstract
26,A process-driven e-learning content organization model,iee abstract
27,A RFID based knowledge management systems - an intelligent approach for managing logistics processes,iee abstract
28,A Semantic Web Services-based Infrastructure for Context-Adaptive Process Support,iee abstract
29,A software engineering subject on system description techniques,iee abstract
30,A Study on e-Government Policy in Mongolia,iee abstract
31,Accountability in Service-Oriented Architecture: Computing with Reasoning and Reputation,iee abstract
32,Achieving excellence in the global marketplace using knowledge-based simulation,iee abstract
33,Acquiring ERP Business Process Knowledge: A Network Structure Analysis,iee abstract
34,ActiveForms: A Runtime for Mobile Application Forms,iee abstract
35,Adaptation of the balanced scorecard model to the IT functions,iee abstract
36,An approach of design and implementation on SOA-based computer aided learning platform,iee abstract
37,An aspect-oriented extension to MiniJava and its implementation,iee abstract
38,An Automatic Approach for Extracting Process Knowledge from the Web,iee abstract
39,An Automatic Configuration Method for Teaching Management Process,iee abstract
40,An Empirical Study on Operational Efficiency of Chinese Listed Logistics Corporations,iee abstract
41,An innovation model in curriculum design for teaching engineering at universidad EAFIT,iee abstract
42,An integrated course in fundamental engineering and English composition using interactive and process learning methodologies,iee abstract
43,An Overall Lifecycle Modeling Method for E-Learning Services and the Cooperative Mechanism Based on PCDA,iee abstract
44,Analysis of Active Learning Activities Transitions and Patterns in Process Oriented Guided Inquiry Learning (POGIL),iee title
46,Anonymous Credential-Based Privacy-Preserving Identity Verification for Business Processes,iee abstract
47,APOSDLE - advanced process-oriented self-directed learning environment,iee title
49,Application of GRID Computating and Workflow Technology in E-Commerce Learning,iee abstract
50,Application of linguistic techniques for Use Case analysis,iee abstract
51,Arc welding seam tracking system based on artificial neural networks,iee abstract
52,Architecture modeling and design for university freshmen data acquisition system,iee abstract
53,Architecture-centered enterprise system development and integration based on distributed object technology standard,iee abstract
54,Assessment design for mathematics web project-based learning,iee abstract
55,Assigning Process-Oriented Roles in Concept Mapping Mediated Online Group Learning,iee title
57,Auto-Adapted Long-Distance Education System Model Based on Multi-agent,iee abstract
58,Balanced scorecard in higher education institutions: What should be consider?,iee abstract
59,Benchmarking technology infrastructures for embarrassingly and non-embarrassingly parallel problems in biomedical domain,iee abstract
60,Big data: A requirements engineering perspective,iee abstract
61,Building a Global Brand: The Case of Wipro,iee abstract
62,Building a Holarchy Using Business Process-Oriented Holonic (PrOH) Modeling,iee abstract
63,Business process anomaly detection using ontology-based process modelling and Multi-Level Class Association Rule Learning,iee title
65,Business Process innovation: The LEGO Case,iee abstract
66,Business Process Reengineering as a Modernizing Tool for the Public Administration - From Theory to Reality,iee abstract
67,Business process reengineering of cultivation of college students' comprehensive quality,iee abstract
68,Challenges and rewards in the implementation of an ePortfolio project in a Higher Education Institution in Hong Kong,iee abstract
69,Change management at Mobil Oil Australia,iee abstract
70,CoLearn: Real time collaborative learning environment,iee abstract
71,Collective intelligence as a framework for supply chain management,iee abstract
72,Comparing and Combining Predictive Business Process Monitoring Techniques,iee abstract
73,Complementing AHP with Habitual Domains Theory to Identify Key Performance Indicators for Service Industry,iee abstract
74,Comprehensive e-Learning system based on Islamic principles,iee abstract
75,Computer-based process-genre approach in English composition writing,iee abstract
76,"Construction and Implementation of the ""434' Network Professional Practice Teaching Model under the Regional Environments",iee abstract
77,Construction of performance management system based on balanced scorecard for exhibition company,iee abstract
78,Contents,iee abstract
79,Context-aware Process Support through Automatic Selection and Invocation of Semantic Web Services,iee abstract
80,Coordination routines behind knowledge intensive work processes,iee abstract
81,Corpus-based teaching in writing class of English majors,iee abstract
82,Creating a Learner Centric Environment through POGIL: Our Experience in Engineering and Management Education in India,iee abstract
83,Decision mining for multi choice workflow patterns,iee abstract
84,Decision support system for increasing sustainable productivity on fishery agroindustry supply chain,iee abstract
85,Design and application of practical teaching framework of ERP course,iee abstract
