,title,
,Time prediction based on process mining ,science
,From cacophony to harmony: A case study about the \IS\ implementation process as an opportunity for organizational transformation at Sentara Healthcare ,science
,The role of prior experience and task characteristics in object-oriented modeling: an empirical study ,science
,Outsourcing decisions in reverse logistics: Sustainable balanced scorecard and graph theoretic approach ,science
,Lifelong Learning Case Study from Turkish Public Sector: Business Process Management in Social Security Operations ,science
,Management Techniques in Estonian Organizations: Learning Organization and Business Process Reengineering ,science
,Developing a Multidimensional Performance of Zakat Collection System in East Coast Region ,science
,Representations of Study and Students’ Academic Motivation ,science
,Measuring Process-oriented Teaching ,science
,Continuous monitoring of business process controls: A pilot implementation of a continuous auditing system at Siemens ,science
,A Process Oriented Approach to Automated Quality Control ,science
,Automation Working Place Head of Department ,science
,ActCPG framework to learn about information user requirements of a clinical practice guideline ,science
,The fundamental nature of requirements engineering activities as a decision-making process ,science
,Business process reengineering and workflow automation: a technology transfer experience ,science
,The Impact of Strategy-based Instruction on \L2\ Learners’ Persuasive Writing ,science
,A business process-oriented method of \KM\ solution design: A case study of Samsung Electronics ,science
,The think aloud approach as an educational tool to develop and assess clinical reasoning in undergraduate students ,science
,Approaches to teaching: Current opinions and related research ,science
,Essential skills for creative writing: Integrating multiple domain-specific perspectives ,science
,Chapter 2 - Literature Review ,science
,Rediscovering SWOT’s integrative nature: A new understanding of an old framework ,science
,TRIZ-fractality of computer-aided software engineering systems ,science
,Construção do manual de processos de trabalho e técnicas do Centro de Dispensação de Medicamentos de Alto Custo (CEDMAC) do Hospital de Clínicas da Unicamp ,science
,"Construction of a manual of work processes and techniques from Centro de Dispensação de Medicamentos de Alto Custo (CEDMAC), Hospital de Clínicas, Unicamp ",science
,Performance measurement of supply chain management: A balanced scorecard approach ,science
,Life cycle assessment as an analytical tool in strategic environmental assessment. Lessons learned from a case study on municipal energy planning in Sweden ,science
,Information system analysis of an e-learning system used for dental restorations simulation ,science
,Towards process-oriented teaching for self-directed lifelong learning: a multidimensional perspective ,science
,Toward self-directed learning in secondary schools: what do teachers do? ,science
,Only people learn: organisations and systems can adapt ,science
,Racial differences in intelligence: The importance of the executive system ,science
,Integrating Automatic Data Acquisition with Business Processes Experiences with SAP's Auto-ID Infrastructure ,science
,Resource management in big data initiatives: Processes and dynamic capabilities ,science
,Aspects of Didactic Communication in Primary School ,science
,Cognitive effects from process learning with computer-based simulations ,science
,Chapter 1 - Why Business Modeling? ,science
,Chapter 10 - Business Model Analysis ,science
,"Reviews, action and learning on change management for ecodesign transition ",science
,The potential formative benefits of portfolio assessment in second and foreign language writing contexts: A review of the literature ,science
,\INTERACTIVE\ \NEW\ \DESIGN\ \OF\ \TECHNOLOGY\ \AND\ \ORGANIZATION\ \WITH\ \JOINT\ \CONSIDERATION\ \OF\ \ECONOMIC\ \AND\ \SOCIAL\ CRITERIA: \THE\ \CASE\ \OF\ A \NEW\ \ROLLING\ \MILL\ \PLANT\ ,science
,Eating Disorder Nutrition Counseling: Strategies and Education Needs of English-Speaking Dietitians in Canada ,science
,A Mixed Method Study on Teachers’ Diaries: Teachers’ Narratives and Value-added Patterns ,science
,Evaluating performance in the development of software-intensive products ,science
,Methodology for customer relationship management ,science
,Organisational sustainability modelling—An emerging service and analytics model for evaluating Cloud Computing adoption with two case studies ,science
,Pricing and production lot-size/scheduling with finite capacity for a deteriorating item over a finite horizon ,science
,KM-oriented business process reengineering for construction firms ,science
,"Integrative strategic performance measurement systems, strategic alignment of manufacturing, learning and strategic outcomes: an exploratory study ",science
,Template for Success: Using a Resident-Designed Sign-out Template in the Handover of Patient Care ,science
,Supply chain contract evolution ,science
,Intelligent business processes composition based on multi-agent systems ,science
,The Impact of Auditor Tenure on Initial Bond Ratings ,science
,Modeling car dealership credit operations using arena as a business process reengineering demonstration ,science
,Reasons for management control systems adoption: Insights from product development systems choice by early-stage entrepreneurial companies ,science
,eParticipative Process Learning––process-oriented experience management and conflict solving ,science
,Breaking the rules: success and failure in groupware-supported business process reengineering ,science
,The ‘sustainable development’ concept in urban planning education: lessons learned on a Bulgarian path ,science
,Walking like a toddler: Students' autonomy development in English during cross-border transitions ,science
,Social learning indicators in sustainability-oriented regional learning networks ,science
,A process for post-implementation \IT\ benchmarking ,science
,Decision support system for the management of systems change ,science
,Process-oriented Guided Inquiry Learning in Engineering ,science
,\ICT\ Infrastructure Created to Support CertiBPM Project and Training Program ,science
,Romanian Market Acceptance for Business Process Management Skills Development ,science
,Value-added analysis of the construction submittal process ,science
,Microblogs in Higher Education – A chance to facilitate informal and process-oriented learning? ,science
,How to improve compliance in \RA\ = Interest of an educational program ,science
,Measuring the effects of business intelligence systems: The relationship between business process and organizational performance ,science
,Measurement of the Strategic Performance of Hospitality in the Kingdom of Saudi Arabia: a balanced scorecard Approach (BSC) ,science
,Offshore outsourcing of professional services: A transaction cost economics perspective ,science
,A method to infer the need to update situations in business process adaptation ,science
,\THE\ \ADOPTION\ \OF\ \ENTERPRISE\ \RESOURCE\ \PLANNING\ (ERP) \SYSTEMS\ ,science
,Real-Time Learning: Business Process Guidance at the Point of Need ,science
,Collaborative learning using service-oriented architecture: A framework design ,science
,Balanced scorecard perspective on change and performance: a study of selected Indian companies ,science
,"Trends in chemical engineering education: Process, product and sustainable chemical engineering challenges ",science
,\SBPMN\ — An easier business process modeling notation for business users ,science
,\UML\ Statechart Diagrams on the \ADONIS\ Metamodeling Platform ,science
,The generation of movement patterns during the acquisition of a pursuit tracking task ,science
,IT-enabled redesign of complex and dynamic business processes: the case of bank credit evaluation ,science
,A novel approach for classifying customer complaints through graphs similarities in argumentative dialogues ,science
,Architectural pattern to improve the definition and implementation of eLearning ecosystems ,science
,A reflection of preservice teachers on e-portfolio assessment ,science
,"Examining learning from text and pictures for different task types: Does the multimedia effect differ for conceptual, causal, and procedural tasks? ",science
,A Logistic Service Provider Reference Model ,science
,Chapter 3 - Systems Dimensions ,science
,Process discovery in event logs: An application in the telecom industry ,science
,Holistic Approach of Lean Thinking in Learning Factories ,science
,"Investigación acción participativa; la educación para el autocuidado del adulto maduro, un proceso dialógico y emancipador ",science
,Learning from the spinal cord: How the study of spinal cord plasticity informs our view of learning ,science
,A multi-channel stakeholder consultation process for transmission deregulation ,science
,Strategic performance measurement in a healthcare organisation: A multiple criteria approach based on balanced scorecard ,science
,Learning to be creative. The effects of observational learning on students' design products and processes ,science
,Public computer systems - A challenge for organizational learning ,science
,"Business process reengineering: A tutorial on the concept, evolution, method, technology and application ",science
,Agent-assisted supply chain management: Analysis and lessons learned ,science
,What business process modelers can learn from programmers ,science
,Electronic monolingual dictionaries as language learning aids: A case study ,science
,Process reengineering in the public sector: Learning some private sector lessons ,science
,\IMPACTS\ \OF\ \INFORMATION\ \TECHNOLOGY\ \USE\ \IN\ \BUSINESS\ \SUPPORT\ \AGENCIES\ \SERVICES\ ,science
,Augmenting process elicitation with visual priming: An empirical exploration of user behaviour and modelling outcomes ,science
,Organizing and facilitating Geodesign processes: Integrating tools into collaborative design processes for urban transformation ,science
,"Social Behavior (Emergent), Computer Models of ",science
,Optimum operating conditions for a water purification process integrated to a heat transformer with energy recycling using neural network inverse ,science
,\COP\ prediction for the integration of a water purification process in a heat transformer: with and without energy recycling ,science
,Exploring the Nature and Implementation Process of User-Centric Business Models ,science
,Adoption of Web-based Group Decision Support Systems: Conditions for Growth ,science
,Training higher education teachers for instructional design of competency-based education: Product-oriented versus process-oriented worked examples ,science
,\TOTAL\ \QUALITY\ \MANAGEMENT\ \AND\ \THE\ \BALANCED\ \SCORECARD\ APPROACH: A \CRITICAL\ \ANALYSIS\ \OF\ \THEIR\ \POTENTIAL\ \RELATIONSHIPS\ \AND\ \DIRECTIONS\ \FOR\ \RESEARCH\ ,science
,Integrating cluster and sequential analysis to explore learners’ flow and behavioral patterns in a simulation game with situated-learning context for science courses: A video-based process exploration ,science
,Integrating the science education nexus into coastal governance: A Mediterranean and Black Sea case study ,science
,\BPM\ Change Management ,science
,Designing a knowledge-based system for strategic planning: A balanced scorecard perspective ,science
,Developing strategic measurement and improvement for the biopharmaceutical firm: Using the \BSC\ hierarchy ,science
,Risk-based drought early warning system in reservoir operation ,science
,Reinforcement learning based resource allocation in business process management ,science
,An adaptive work distribution mechanism based on reinforcement learning ,science
,Applying the concepts of extended products and extended enterprises to support the activities of dynamic supply networks in the agri-food industry ,science
,Intensive use of \ICT\ in school: Developing differences in students’ \ICT\ expertise ,science
,Visualising a knowledge mapping of information systems investment evaluation ,science
,The Problem of the Syllabus Design within the Competence Approach based on the Course “English for Master Degree Students in Economics (Advanced Level)” ,science
,Object-oriented real-world modeling revisited ,science
,How students describe the sources of their emotional and motivational experiences during the learning process: A qualitative approach ,science
,A learning perspective on the offshoring of advanced services ,science
,Data-driven Based Integrated Learning Controller Design for Batch Processes ,science
,An integrated iterative learning control strategy with model identification and dynamic R-parameter for batch processes ,science
,On learning web information extraction rules with \TANGO\ ,science
,Quality improvement approach and performance: multisite analysis within a firm ,science
,Balanced Scorecard as an Issue Taught in the Field of Industrial Engineering ,science
,\PLM\ education in production design and engineering by e-Learning ,science
,Effects of Innovation Strategy on Firm Performance: A Study Conducted on Manufacturing Firms in Turkey ,science
,Effects of Innovation Types on Performance of Manufacturing Firms in Turkey ,science
,AVIS: a connectionist-based framework for integrated auditory and visual information processing ,science
,Creative Strategy: A Pilot Evaluation of a Hypothetical Learning Model through Public Speaking Performance ,science
,Assessment of \TEOG\ Examination Success: Topsis Multi-Criteria Decision-Making Method Practice ,science
,Aligning \BPR\ to strategy: a framework for analysis ,science
,Discrete Modeling and Simulation of Business Processes Using Event Logs ,science
,Managing IT-enabled transformation in the public sector: A case study on e-government in South Korea ,science
,Chapter 24 - Prototyping with Visio ,science
,VBP: An approach to modelling process variety and best practice ,science
,An attempt of integration of teaching contents of the subjects ecological education and English as a foreign language ,science
,A Human Factor Framework for Analysis of an Assembly Work ,science
,Strategic performance management: A balanced approach to performance management issues in local government ,science
,Procedures of mind ,science
,Solving challenges in inter- and trans-disciplinary working teams: Lessons from the surgical technology field ,science
