BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
7,"","vanderAalst2011450","van der Aalst, W. M. P.; Schonenberg, M. H. & Song, M.","Time prediction based on process mining ","Information Systems ",36,2,"","450 - 475",2011,"","Special Issue: Semantic Integration of Data, Multimedia, and Services ","http://www.sciencedirect.com/science/article/pii/S0306437910000864","","","","","","","","","","","","","","","Process mining, Business process management, Time prediction, Performance analysis, Business intelligence ","",""
7,"","Abraham2011177","Abraham, Chon & Junglas, Iris","From cacophony to harmony: A case study about the \IS\ implementation process as an opportunity for organizational transformation at Sentara Healthcare ","The Journal of Strategic Information Systems ",20,2,"","177 - 197",2011,"","","http://www.sciencedirect.com/science/article/pii/S0963868711000217","","","","","","","","","","","","","","","Case study, IS implementation, Organizational transformation, Business process change model (BPCM), Healthcare ","",""
7,"","Agarwal1996639","Agarwal, Ritu; Sinha, Atish P. & Tanniru, Mohan","The role of prior experience and task characteristics in object-oriented modeling: an empirical study ","International Journal of Human-Computer Studies ",45,6,"","639 - 667",1996,"","","http://www.sciencedirect.com/science/article/pii/S1071581996900725","","","","","","","","","","","","","","","","",""
7,"","Agrawal201641","Agrawal, Saurabh; Singh, Rajesh K. & Murtaza, Qasim","Outsourcing decisions in reverse logistics: Sustainable balanced scorecard and graph theoretic approach ","Resources, Conservation and Recycling ",108,,"","41 - 53",2016,"","","http://www.sciencedirect.com/science/article/pii/S0921344916300040","","","","","","","","","","","","","","","Outsourcing, Reverse logistics, Sustainable balanced scorecard, Graph theoretic approach ","",""
7,"","Akkoyun20141154","Akkoyun, Yılmaz & Erkan, Turan Erman","Lifelong Learning Case Study from Turkish Public Sector: Business Process Management in Social Security Operations ","Procedia - Social and Behavioral Sciences ",116,,"","1154 - 1159",2014,"","5th World Conference on Educational Sciences ","http://www.sciencedirect.com/science/article/pii/S1877042814003784","","","","","","","","","","","","","","","Lifelong Learning, Business Process Management, Business Process Productivity, Government Policy, Social Security ","",""
7,"","Alas2012494","Alas, Ruth; Zernand-Vilson, Maris & Vadi, Maaja","Management Techniques in Estonian Organizations: Learning Organization and Business Process Reengineering ","Procedia - Social and Behavioral Sciences ",62,,"","494 - 498",2012,"","World Conference on Business, Economics and Management (BEM-2012), May 4–6 2012, Antalya, Turkey ","http://www.sciencedirect.com/science/article/pii/S1877042812035215","","","","","","","","","","","","","","","Management techniques, business process reengineering, learning organization, Estonia ","",""
7,"","Ali201484","Ali, Nurul Nurhidayatie Muhamad; Taha, Roshaiza; Embong, Mohammad Rodzi & Nor, Mohd Nazli Mohd","Developing a Multidimensional Performance of Zakat Collection System in East Coast Region ","Procedia - Social and Behavioral Sciences ",164,,"","84 - 90",2014,"","International Conference on Accounting Studies 2014, \{ICAS\} 2014, 18-19 August 2014, Kuala Lumpur, Malaysia ","http://www.sciencedirect.com/science/article/pii/S1877042814058741","","","","","","","","","","","","","","","Balanced scorecard, religious, Zakat institution ","",""
7,"","Alivernini2015302","Alivernini, Fabio; Cavicchiolo, Elisa; Palmerio, Laura & Girelli, Laura","Representations of Study and Students’ Academic Motivation ","Procedia - Social and Behavioral Sciences ",205,,"","302 - 305",2015,"","6th World Conference on Psychology, Counseling and Guidance (WCPCG-2015) ","http://www.sciencedirect.com/science/article/pii/S1877042815051046","","","","","","","","","","","","","","","value-added models, cognitive activation, text mining, reflective practices, social learning, process-oriented teaching. ","",""
7,"","Alivernini20131346","Alivernini, Fabio; Manganelli, Sara & Lucidi, Fabio","Measuring Process-oriented Teaching ","Procedia - Social and Behavioral Sciences ",84,,"","1346 - 1349",2013,"","The 3rd World Conference on Psychology, Counseling and Guidance, WCPCG-2012 ","http://www.sciencedirect.com/science/article/pii/S1877042813018284","","","","","","","","","","","","","","","confirmatory factor anaysis, process-oriented, validation ","",""
7,"","Alles2006137","Alles, Michael; Brennan, Gerard; Kogan, Alexander & Vasarhelyi, Miklos A.","Continuous monitoring of business process controls: A pilot implementation of a continuous auditing system at Siemens ","International Journal of Accounting Information Systems ",7,2,"","137 - 161",2006,"","2005 Research Symposium on Integrity, Privacy, Security &amp; Trust in an \{IT\} Context ","http://www.sciencedirect.com/science/article/pii/S1467089506000273","","","","","","","","","","","","","","","Continuous auditing, Continuous monitoring of business processes, Controls, Control settings, Monitoring, Formalization, Automation, Reengineering ","",""
7,"","Ament2001251","Ament, C. & Goch, G.","A Process Oriented Approach to Automated Quality Control ","\{CIRP\} Annals - Manufacturing Technology ",50,1,"","251 - 254",2001,"","","http://www.sciencedirect.com/science/article/pii/S0007850607621167","","","","","","","","","","","","","","","Quality Assurance, Distributed Control, Holonic Manufacturing System ","",""
7,"","Amirov2014193","Amirov, Azamat; Baimuldin, Murat & Shakirova, Julia","Automation Working Place Head of Department ","Procedia - Social and Behavioral Sciences ",131,,"","193 - 197",2014,"","3rd World Conference on Educational Technology Researches 2013, \{WCETR\} 2013, 7-9 November 2013, Antalya, Turkey ","http://www.sciencedirect.com/science/article/pii/S1877042814030134","","","","","","","","","","","","","","","Chair, the quality management system of the University, automated working place ","",""
7,"","Andreev2012165","Andreev, Pavel; Michalowski, Wojtek; Kuziemsky, Craig & Hadjiyannakis, Stasia","ActCPG framework to learn about information user requirements of a clinical practice guideline ","Health Policy and Technology ",1,3,"","165 - 172",2012,"","","http://www.sciencedirect.com/science/article/pii/S2211883712000615","","","","","","","","","","","","","","","","",""
