,Title,SearchSource,Selected,C1,C2
,"“I am not only a disease, I am so much more”. Patients with rheumatic diseases’ experiences of an emotion-focused group intervention ",science,,,
,[Back cover],iee abstract,,,
,[Copyright notice - Volume 1],iee abstract,,,
,[Copyright notice],iee abstract,,,
,[Copyright notice],iee abstract,,,
,[Front cover],iee abstract,,,
,[Title page i],iee abstract,,,
,[Title page i],iee abstract,,,
,\BIM\ Implementation and Organisational Change: A Case Study of a Large Swedish Public Client ,science,,,
,\BPM\ Change Management ,science,,,
,\BPMN\ MUSIM: Approach to improve the domain expert’s efficiency in business processes modeling for the generation of specific software applications ,science,,,
,\COP\ prediction for the integration of a water purification process in a heat transformer: with and without energy recycling ,science,,,
,\ERP\ in agriculture: Lessons learned from the Dutch horticulture ,science,,,
,\ICT\ Infrastructure Created to Support CertiBPM Project and Training Program ,science,,,
,\IMPACTS\ \OF\ \INFORMATION\ \TECHNOLOGY\ \USE\ \IN\ \BUSINESS\ \SUPPORT\ \AGENCIES\ \SERVICES\ ,science,,,
,\INTEGRATED\ BATCH-TO-BATCH \ITERATIVE\ \LEARNING\ \CONTROL\ \AND\ \WITHIN\ \BATCH\ \CONTROL\ \OF\ \PRODUCT\ \QUALITY\ \FOR\ \BATCH\ \PROCESSES\ ,science,,,
,\INTERACTIVE\ \NEW\ \DESIGN\ \OF\ \TECHNOLOGY\ \AND\ \ORGANIZATION\ \WITH\ \JOINT\ \CONSIDERATION\ \OF\ \ECONOMIC\ \AND\ \SOCIAL\ CRITERIA: \THE\ \CASE\ \OF\ A \NEW\ \ROLLING\ \MILL\ \PLANT\ ,science,,,
,\IT\ induced business transformation in higher education: an analysis of the UniCafé experience and its implications ,science,,,
,\OK\ you are now an approved supplier—but you still do not get orders: Understanding the case of the P-Card ,science,,,
,\PLM\ education in production design and engineering by e-Learning ,science,,,
,\SBPMN\ — An easier business process modeling notation for business users ,science,,,
,\SSME\ Curricula: An Overview ,science,,,
,\THE\ \ADOPTION\ \OF\ \ENTERPRISE\ \RESOURCE\ \PLANNING\ (ERP) \SYSTEMS\ ,science,,,
,\TOTAL\ \QUALITY\ \MANAGEMENT\ \AND\ \THE\ \BALANCED\ \SCORECARD\ APPROACH: A \CRITICAL\ \ANALYSIS\ \OF\ \THEIR\ \POTENTIAL\ \RELATIONSHIPS\ \AND\ \DIRECTIONS\ \FOR\ \RESEARCH\ ,science,,,
,\UML\ Statechart Diagrams on the \ADONIS\ Metamodeling Platform ,science,,,
,20 - Sound ,science,,,
,39 - Preventive Quality Management ,science,,,
,4 - Intensive Knowledge-Based Enterprise Modelling ,science,,,
,4 - Practical \HR\ ,science,,,
,402-O. An Experiment in Process-oriented Training: Learning to Think Like an \ED\ Nurse ,science,,,
,A Balanced Performance Measurement Scorecard Approach for Product Service Systems,iee abstract,,,
,A Balanced Scorecard Approach to Perioperative Process Management: A Case Study Perspective,iee abstract,,,
